pdb_id,color_class,tau_lever_mean,tau_lever_max,phi_lever_mean,phi_lever_max,swept_ratio,fI_nobarrel,fP_folded_nobarrel,fI_full,fP_folded_full
1B9C,green,2.0052546426311326,3.934434028714513,0.7682840864402392,1.3537172326886178,2.9829064951701274,0.8055555555555556,1.0,0.0277777777777777,0.2222222222222222
1BFP,blue,1.8979714137134842,3.4114119559683695,0.716581744183409,1.1690208977264356,3.1783752725261145,0.8055555555555556,1.0,0.0972222222222222,0.5416666666666666
1C4F,green,2.1414211932056917,4.228810986025313,0.7445984394175867,1.3376204841225587,3.286789733853136,0.7777777777777778,1.0,0.0694444444444444,0.2777777777777778
1CV7,cyan,1.7132178852298527,3.2043466945183,1.710692607433467,3.5433764364056937,1.1127513030462455,0.0,0.5277777777777778,0.0,0.0
1EMA,green,2.274411272008441,4.481201029242233,0.8064162223523784,1.3611880760023634,3.22330714085489,0.75,1.0,0.0138888888888888,0.4166666666666667
1EMB,green,2.3201105254270287,4.603914505884576,0.7643493581017285,1.3295734208064034,3.4690352756853087,0.7777777777777778,1.0,0.0416666666666666,0.3611111111111111
1EMC,green,2.0975697625545053,4.063026620519059,0.7364529142035467,1.2798322645214433,3.2550928097950513,0.8055555555555556,1.0,0.0138888888888888,0.4166666666666667
1EME,green,2.286619636827017,4.477106470762015,0.7631923046007013,1.3076074234810964,3.4241429967148553,0.7638888888888888,1.0,0.0694444444444444,0.4444444444444444
1EMF,blue,1.7159497585607812,3.198612094497152,0.7031583018587003,1.127914365081434,2.928415557108393,0.8194444444444444,1.0,0.0694444444444444,0.5138888888888888
1EMG,green,2.2088937950597103,4.295841273801282,0.8061099856479865,1.4054588785271713,3.1316446842766106,0.75,1.0,0.0277777777777777,0.2777777777777778
1EMK,green,2.264083905316175,4.375398055306753,0.767111859946133,1.3330851976151525,3.3730732091668916,0.7777777777777778,1.0,0.0416666666666666,0.2777777777777778
1EML,green,2.220166633021607,4.306916911334123,0.7664674720391383,1.3444136032160379,3.31042527888551,0.7916666666666666,1.0,0.0277777777777777,0.4722222222222222
1EMM,green,2.2218472769934214,4.223308781259907,0.7965464144286043,1.3540383761542727,3.1878293403293223,0.7777777777777778,1.0,0.0277777777777777,0.2777777777777778
1F09,green,2.0832367434886976,4.146131861528712,0.7569308507552567,1.3439289361980167,3.1453890275220457,0.0,0.0,0.0,0.0
1F0B,green,1.9755086132366442,3.860495009347191,0.7740106627211778,1.2617080853561007,2.916916055750266,0.75,1.0,0.0694444444444444,0.1944444444444444
1G7K,red,2.0678839936762667,4.115953655493112,0.7365186566928674,1.3030997497511252,3.2087388028764967,0.7638888888888888,1.0,0.0277777777777777,0.25
1GGX,red,2.0421261165808247,3.9344259305175475,0.791666680594758,1.406234423256369,2.9480316352282863,0.8194444444444444,1.0,0.0,0.3888888888888889
1H6R,green,2.3154429388907185,4.553997746912147,0.7831163635967879,1.2881827223900901,3.3790897810326976,0.6666666666666666,1.0,0.0,0.0
1HCJ,green,2.167312755830716,4.34833363458392,0.765421218359222,1.3221515857012447,3.236033708493404,0.0,0.75,0.0,0.1111111111111111
1HUY,green,2.0949537384613577,4.086941482414869,0.7762976496069497,1.380340224189521,3.0841686113156093,0.8055555555555556,1.0,0.0694444444444444,0.3333333333333333
1JBY,green,2.0326365618347175,3.9843540058020226,0.6992434858573645,1.210797569198315,3.3221807002993686,0.8194444444444444,1.0,0.0833333333333333,0.5277777777777778
1JBZ,green,2.2607183336829664,4.45994700229355,0.7664552738576835,1.3790420887928223,3.3709443770066834,0.75,1.0,0.0277777777777777,0.3888888888888889
1JC0,green,2.019091624241807,3.942699631505319,0.7029142348189731,1.2532102931768596,3.282809154436966,0.8611111111111112,1.0,0.0,0.0
1JC1,green,2.0693577987967116,4.088747344028042,0.7279532717254839,1.3010701558095072,3.2488079020184775,0.8333333333333334,1.0,0.0277777777777777,0.25
1KP5,green,2.3070025663874474,4.447430302372271,0.775002979838626,1.3658181370517968,3.4020183537031707,0.8194444444444444,1.0,0.0694444444444444,0.3888888888888889
1KYP,blue,1.7215929077056036,3.1630840328811467,0.7023098920062215,1.1086256973394037,2.9415953167699698,0.8611111111111112,1.0,0.1388888888888889,0.5972222222222222
1KYR,blue,1.659509838527834,3.138030131683154,0.7041132140355805,1.1425105074941944,2.828255125081022,0.9861111111111112,1.0,0.0555555555555555,0.0
1KYS,blue,1.7850625129055542,3.174288982772337,0.7125836235854577,1.1094997516319203,3.006068262849677,0.875,0.9583333333333334,0.0,0.0
1MOU,green,2.0308224380288147,3.7653018445382402,0.7056333763815983,1.2355909949856696,3.2891583743916497,1.0,1.0,0.0555555555555555,0.1944444444444444
1MOV,unknown,1.9830073451402312,3.678114134813175,0.7046068600539195,1.2384247188226905,3.216395180368052,1.0,1.0,0.0555555555555555,0.1944444444444444
1MYW,yellow,2.0904756796089417,4.080974042989083,0.8188756139193505,1.4455167995100622,2.917555513682104,0.7916666666666666,1.0,0.0277777777777777,0.25
1Q4A,green,2.1824643109282977,4.240083261593511,0.8103042529310035,1.4360364302026083,3.078158503738693,0.7916666666666666,1.0,0.0138888888888888,0.4444444444444444
1Q4B,green,2.223631961776497,4.32487070361271,0.8109238157850266,1.3973100354397563,3.1338254237132923,0.7638888888888888,1.0,0.0694444444444444,0.3611111111111111
1Q4C,green,2.2053741517941576,4.296728860245036,0.8162843103930697,1.4296595469084705,3.087683506787961,0.7916666666666666,1.0,0.0694444444444444,0.4722222222222222
1Q4D,green,2.194566217949596,4.25278386805911,0.8263042214517088,1.431602700535711,3.035293312734527,0.7916666666666666,1.0,0.0694444444444444,0.4722222222222222
1Q4E,green,2.172888237288435,4.245481419569559,0.807231579868672,1.4177066583040505,3.0763177563238564,0.7916666666666666,1.0,0.0555555555555555,0.2777777777777778
1Q73,green,2.161462501108848,4.197716193854886,0.8355223512856756,1.4683931542163224,2.9565251660939764,0.7916666666666666,1.0,0.0694444444444444,0.5
1QYF,green,1.8312874692741177,3.590627298519375,0.7404224197941165,1.3276901083079762,2.8266296494191283,0.875,1.0,0.0555555555555555,0.3611111111111111
1RMM,green,2.092069617456916,4.068455749879807,0.7715165103218862,1.3753335928482282,3.099009125115831,0.8055555555555556,1.0,0.0555555555555555,0.4722222222222222
1RMO,green,2.0816179331908153,4.013141316515411,0.7887803578157422,1.402468168702114,3.0160384954747754,0.7777777777777778,1.0,0.0555555555555555,0.25
1RMP,green,2.0684311721078297,3.9810401421344452,0.7933897742754447,1.4279250979714588,2.979520805786328,0.8055555555555556,1.0,0.0416666666666666,0.3333333333333333
1RRX,green,2.1653931964845703,4.279816816685715,1.0509076226409182,2.6940085108456095,2.318060401848959,0.7916666666666666,1.0,0.0,0.0416666666666666
1S6Z,green,1.2225424928891582,2.460702593202058,0.9623931459509848,1.4984578229641912,1.6937533938635967,0.9027777777777778,0.7777777777777778,0.2777777777777778,0.6388888888888888
1UIS,red,1.8130678148125625,3.4452436298335134,0.8265582268867774,1.4800707456012634,2.506874210722439,1.0,1.0,0.0138888888888888,0.0
1W7S,green,2.128883901695014,4.130884231947786,0.783134295244303,1.379956777603645,3.1067598343483858,0.7916666666666666,1.0,0.0555555555555555,0.3611111111111111
1W7T,green,2.1049659257378694,4.039147565167007,0.8318499701137048,1.517081948446953,2.8919582017555316,0.7916666666666666,1.0,0.0416666666666666,0.2222222222222222
1W7U,green,2.3957116987356315,4.502257001772581,0.8062867337671339,1.3872950174249983,3.3957599852029734,0.7361111111111112,1.0,0.0416666666666666,0.3611111111111111
1XA9,yellow,2.2332864949067175,4.437597142420351,0.7645429747811479,1.3657331579132117,3.3383701203730816,0.0,1.0,0.0,0.0
1XAE,yellow,2.2514896114490575,4.4840550248952535,0.7866592645735077,1.3908712124971934,3.2709599955048487,0.0,1.0,0.0,0.0555555555555555
1XMZ,cyan,1.9250770917254263,3.8618487441004596,0.9145282263655619,1.4745998093511108,2.4057082563459593,0.9305555555555556,1.0,0.0138888888888888,0.0833333333333333
1XQM,green,2.1372769485303333,4.018271554878762,0.7796862560870661,1.3882918153541348,3.1328014413775294,1.0,1.0,0.0138888888888888,0.1111111111111111
1XSS,unknown,2.0602032949878657,4.055950055386075,0.7310828226027674,1.2692407797794296,3.2205900325113053,0.7916666666666666,1.0,0.0138888888888888,0.3055555555555556
1YFP,yellow,2.048726131079645,4.054047891961681,0.7279764344821803,1.269913431721437,3.2163146796474567,0.7777777777777778,1.0,0.0277777777777777,0.2777777777777778
1YZW,red,2.3681459317782885,4.475103414792886,0.7151089037813128,1.2627510787539182,3.7846717879610683,1.0,0.8055555555555556,0.0416666666666666,0.1944444444444444
1Z1P,green,1.1251715637113138,2.510216405557996,0.8907978242256345,1.3763010383012697,1.6841405656993218,0.7916666666666666,1.0,0.0416666666666666,0.4722222222222222
1Z1Q,green,1.0975414523855562,2.5478494134170666,0.8677964644835168,1.3581609697593295,1.6863269937976773,0.8055555555555556,1.0,0.0,0.0
1ZGO,red,1.8424120423609756,3.5737411397838668,0.7297840977184834,1.274956779690515,2.8852557479410925,0.8611111111111112,1.0,0.0138888888888888,0.4166666666666667
1ZGP,red,2.119890466700532,4.099784983998012,0.7868528450565779,1.3982370804239144,3.079015316732141,0.8194444444444444,1.0,0.0416666666666666,0.4166666666666667
1ZGQ,red,1.9849309376251236,3.82713022310182,0.8024831936184444,1.4297862170732576,2.8268411328519303,0.8194444444444444,1.0,0.0,0.4444444444444444
2A46,cyan,2.105194811399876,4.108364436184315,0.793486631386599,1.3914683531402405,3.032107703074753,0.7916666666666666,1.0,0.0277777777777777,0.1111111111111111
2A47,unknown,2.1332134697945713,3.9964766759168158,0.8284106661680684,1.4747110707833102,2.942934405312427,1.0,1.0,0.0694444444444444,0.3888888888888889
2A48,unknown,2.2195935316814754,4.362637102678312,0.7800660626486413,1.3781006799584543,3.2518762748229713,0.8194444444444444,1.0,0.0416666666666666,0.2777777777777778
2A50,unknown,2.226313290226883,4.251631399024199,0.7638372839459644,1.3609997203761814,3.3310210164519463,1.0,1.0,0.0277777777777777,0.3333333333333333
2A52,unknown,2.2454855367787,4.311975471102227,0.7426020918149889,1.3005736794919802,3.455779633770949,0.7638888888888888,1.0,0.0138888888888888,0.2222222222222222
2A53,unknown,2.283559751176525,4.435535232935659,0.7403062902852126,1.271724420232179,3.5252740750962936,0.875,1.0,0.0138888888888888,0.1111111111111111
2A54,unknown,2.13078818737344,4.014086584894598,0.7839178736263979,1.3889211496634233,3.1064306374215023,0.8055555555555556,1.0,0.0138888888888888,0.2777777777777778
2A56,unknown,2.1445434604059335,4.063052619144059,0.7614945646029608,1.3501577451119222,3.218548005224943,0.7777777777777778,1.0,0.0138888888888888,0.0833333333333333
2AH8,green,2.0511461279426273,4.0006429712849405,0.7019588585740565,1.232472909949599,3.3394649483089247,0.875,1.0,0.0555555555555555,0.4166666666666667
